Condition,RR,CI_Lower,CI_Upper
OW,1.17,1.11,1.24
STK,1.22,1.2,1.24
CAD,1.23,1.21,1.26
CVD,1.24,1.23,1.25
HTN,1.24,1.23,1.25
AF,1.3,1.18,1.43
MI,1.31,1.27,1.35
OBS,1.39,1.38,1.4
HF,1.47,1.46,1.48
DM,1.48,1.47,1.49
OBS+HTN,1.66,1.59,1.74
HTN+CVD,1.67,1.54,1.81
CBD,1.69,1.65,1.73
HTN+OBS,1.74,1.7,1.79
OBS+CVD,1.79,1.59,2.01
DM+CVD,1.82,1.65,2.0
DM+OBS,1.82,1.74,1.91
DM+HTN+CVD,1.85,1.66,2.08
OBS+HTN+CVD,1.88,1.65,2.14
DM+HTN+OBS,1.9,1.79,2.02
OBS+DM+CVD,1.97,1.68,2.31
OBS+DM+CVD+HTN,2.07,1.74,2.46
DM+HTN,2.22,2.16,2.28
CVD+DM,6.98,5.28,9.22
